Roll,Effect,g/b?,bad,either,whimsy,good,total,,,,Level of Spell,Roll needed to cause Surge
100-101,Any fires set by you attract N zombies for the next 1d4 days.,1,40,29,36,95,200,0,,,cantrip,1
102-103,You cast Grasping Vine that lasts for the next N turns.,4,bc,ec,wc,bc,total,,,,1,1-2
104-105,You cast levitate on self.,4,40,25,40,95,200,,,,2,1-3
106-107,You are reduced as if by the Enlarge/Reduce spell. At the beginning of you next turn you become enlarged. This alternating pattern continues for 1d6 turns.,2,,,,,,,,,3,1-4
108-109,"A bolt of electricity strikes you, make a DC 12 Dexterity saving throw or take 1d8 damage, take half damage on a sucessful save.",1,,,,,,,,,4,1-5
110-111,"The next 1d4 times you sleep or meditate, you are affliced with horrible nightmares and take 1d4 psychic damage.",1,,,,,,,,,5,1-6
112-113,"For the next minute, N motes of burning energy appear on your body, you may cast Hellish Rebuke that many times as an Nth level spell.",4,,,,,,,,,6,1-7
114-115,You cast Melf's Minute Meteors as an Nth level spell. You do not need to maintain concentration on the spell.,4,,,,,,,,,7,1-8
116-117,You cast Invisibility on yourself without spending a spell slot while motionless. You remain invisible for the duration as long as you remain motionless.,2,,,,,,,,,8,1-9
118-119,You wild shape into a giant ape for one hour.,2,,,,,,,,,9,1-10
120-121,"Until your next long rest, One of your arms becomes magically animated wood under your control. You have disadvantage on Sleight of Hand checks and advantage on Athletics checks made with that limb.",3,,,,,,,,,,
122-123, Any food you eat turns to ash in your mouth for the next 24 hours. Remove Curse or a similar spell can end this effect. ,3,,,,,,,,,,
124-125,"Ice suddenly covers the ground within (N*5) feet of you at a depth of 6 inches. Each creature that tries to move must make a DC 12 Dexterity saving throw everytime it moves on the ice, or fall prone. ",1,,,,,,,,,,
126-127,"For the next Nd4 hours, you can speak with animals.",4,,,,,,,,,,
128-129,Fog Cloud is cast centered on you.,1,,,,,,,,,,
130-131,A 10-foot-tall wall of stone appears surrounding you in a 10-foot radius for N turns.,1,,,,,,,,,,
132-133,"For the next N turns, your spells cost an additional bonus action to cast.",1,,,,,,,,,,
134-135,You cast Magic Missile as a (N*2) level spell (up to a maximum of level 9).,4,,,,,,,,,,
136-137,Otto's Irresistable Dance is cast on a creature within 60 feet of you.,4,,,,,,,,,,
138-139,An Icy mist issues from your body. Creatures within 10 feet of you take 1d4 cold damage at the beginning of their turn.,2,,,,,,,,,,
140-141,"For the next minute, the next N spells you cast are affected by the Distant Spell Metamagic.",4,,,,,,,,,,
142-143,"Any wounds you seal up, leaving scars that look like fungal-like lattice. You regain Nd6 hit points. These scars heal after 24 hours",4,,,,,,,,,,
144-145,Mirror Image is cast on you for the next N turns. ,4,,,,,,,,,,
146-147,Each creature within 30 feet of you takes N necrotic damage. You regain hit points equal to the sum of the damage dealt.,2,,,,,,,,,,
148-149,"A blast of dark obscuring fog emits from your body, Everyone that relies on sight within 100 feet has disadvantage on attack rolls.",2,,,,,,,,,,
150-151,"You form a bond with any weapon within 60 feet, as a bonus action on your turn, you can summon that weapon to cause it to teleport instantly to your hand. You cannot be willingly disarmed. This bond lasts for Nd4 days.",4,,,,,,,,,,
152-153,"When you cast a spell or take an action that targets only one creature and doesn't have a range of self, you can take 1d4 psychic damage to have the effect target another creature within range with the same effect. You may do this up to N times.",4,,,,,,,,,,
154-155,You are immune to being intoxicated by alchohol for the next Nd4 days. ,3,,,,,,,,,,
156-157,You explode with viscous ectoplasm. All creatures within 30 feet of you are sprayed and must make a DC 14 Constitution saving throw or throw up a little in their mouths.,3,,,,,,,,,,
158-159,A nearby outcropping of rock bursts into flame.,3,,,,,,,,,,
160-161,You lose your next Action.,1,,,,,,,,,,
162-163,Up to N creatures of your choice are effected by Expeditious Retreat,4,,,,,,,,,,
164-165,Illusory butterflies flutter in the air within 10 feet of you for N hours.,3,,,,,,,,,,
166-167,"Confusion is cast centered on you, it's duration is N turns.",1,,,,,,,,,,
168-169,You may enchant another creature within 30 feet with one additional action on its next turn.,4,,,,,,,,,,
170-171,Extinguish all fires within 120 feet of you. You regain 1d10 hp for each fire you put out.,2,,,,,,,,,,
172-173,"For the next N turns, Whenever you deal damage you may cast Firebolt as a bonus action.",4,,,,,,,,,,
174-175,You can heal up to Nd8 to any targets within 30 feet of you.,4,,,,,,,,,,
176-177,"For 1d4 days, from the elbow down, one of your arms becomes ethereal. You have disadvantage on Sleight of Hand checks to interact with the Prime Material Plane with that hand. As an action, you can make the hand incoporeal so long as you maintain concentraion, allowing it to pass through objects.",3,,,,,,,,,,
178-179,"For an hour, you can speak all languages.",2,,,,,,,,,,
180-181,Cast an Nth level Inflict Wounds on any target within 60 feet.,4,,,,,,,,,,
182-183,You immediately reroll on this table twice.,2,,,,,,,,,,
184-185,You can take one additional action immediately.,4,,,,,,,,,,
186-187,You suffer disorienting vertigo. You must make a DC 14 Constitution saving throw or fall prone.,1,,,,,,,,,,
188-189,"Gravity doubles around you within 60 feet, halfing all movement in the area and causing disadvantage on all Strength  checks",2,,,,,,,,,,
190-191,N enormous oak trees appear spontaneously within 30 feet of you.,3,,,,,,,,,,
192-193,"For the next  N turns, a weapon within 10 feet of you is enchanted by Shillelagh.",4,,,,,,,,,,
194-195, Your silhouette glows while you are either invisible or visible. Remove Curse or a similar spell can end this effect. ,3,,,,,,,,,,
196-197,Darkness is cast centered on you for the next N turns.,1,,,,,,,,,,
198-199,The next spell you cast within one minute is cast at one level higher (up to a maximum of 9th),4,,,,,,,,,,
200-201,Each creature within 30 feet of you becomes invisible for the next N turns. The invisibility ends on a creature when it attacks or casts a spell.,2,,,,,,,,,,
202-203,"For the next minute your face becomes pale, your lips blue, and you may cast Frostbite as a bonus action.",4,,,,,,,,,,
204-205,For the next minute you may add your Spellcasting modifier to any saving throws.,4,,,,,,,,,,
206-207,"A specral shield hovers near you for the next minute, granting you a +2 bonus to AC and immunity to the Magic Missile spell.",4,,,,,,,,,,
208-209,The next person who hits you with an attack within the next N turns becomes charmed.,4,,,,,,,,,,
210-211,"For the next N turns, when you use your action to cast a cantrip, you can make one weapon attack as a bonus action.",4,,,,,,,,,,
212-213,You gain a modem of control over fate for one minute. You may cause any one save to automatically succeed or fail.,4,,,,,,,,,,
214-215,You are feeling lucky! You may reroll any one die within Nd4 hours and add N.,4,,,,,,,,,,
216-217,You give a creature within 30 feet of you an Nth level Divine Smite to cast within 1 minute,4,,,,,,,,,,
218-219,you ooze sweet-smelling oil for 1d4 rounds and act as if under the Grease spell.,1,,,,,,,,,,
220-221,Nd4 ducklings are summoned and identify you as their mother. The ducklings disperse after a long rest.,3,,,,,,,,,,
222-223,You have disadvantage on all saving throws against magical effects for the next N turns.,1,,,,,,,,,,
224-225, You cast Animate Dead on the nearest corpse within a mile.,4,,,,,,,,,,
226-227,For the next N turns your eyes turn milk white and go blind.,1,,,,,,,,,,
228-229,"The next time you roll damage, you may replace N of the die with the maximum possible.",4,,,,,,,,,,
230-231,"For the next N turns, Whenever you deal damage you may cast Ray of Frost as a bonus action.",4,,,,,,,,,,
232-233,"Your skin brightly glows for the next Nd4 hours, giving your disadvantage on Stealth Checks. The light is equivalent to a torch.",3,,,,,,,,,,
234-235,"For the next 24 hours, your race changes randomly. You gain all racial features of your new race and lose all racial features of your current race. Your ability scores remain unchanged.",3,,,,,,,,,,
236-237,Cracks appear in your skin that glow with ethereal blue light for the next minute. Chose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than N+1.,4,,,,,,,,,,
238-239,"For the next N turns, all your spells with a casting time of 1 action have a cating time of 1 bonus action.",4,,,,,,,,,,
240-241,"For the next N days, you see all reflections on yourself as if you mutated into an eldrich monster.",3,,,,,,,,,,
242-243,"For the next N turns, you can cast an Nth level healing word as a bonus action.",4,,,,,,,,,,
244-245,All creatures in a 15 foot cone in from of you must make a Wisdom DC (11 + N) saving throw or are frightened of you for 1d4 rounds. Your eyes become black for this time.,4,,,,,,,,,,
246-247,A creature of your choice gains additional movement equal to N*10 for its next N turns,4,,,,,,,,,,
248-249,"For the next 1d4 turns, you cannot speak but gain a breath weapon. Treat this as a Nth level Dragon's Breath.",2,,,,,,,,,,
250-251,For the next N turns you are immune to all damage.,4,,,,,,,,,,
252-253,"The next time damage is rolled against you, it is rolled twice, using the lower roll.",4,,,,,,,,,,
254-255,"For the next minute, a creature of your choice has an extended critical strike ratio, this is equal to (20-N) - 20.",4,,,,,,,,,,
256-257,You cast Misty Step. ,4,,,,,,,,,,
258-259,Entangle is cast on N creatures at random within 60 feet of you.,2,,,,,,,,,,
260-261,"A small rain cloud appears above you for the next 1d4 hours, you look sad.",3,,,,,,,,,,
262-263,"Any magic you touch is dispelled for the next N hours, this includes magic items, concentration spells, and curses.",2,,,,,,,,,,
264-265,"You become stuck between Planes for the next 1d4 rounds. At the beginning of your turns, make a DC 12 Constitution saving throw to see if you can phase in early.",1,,,,,,,,,,
266-267,Up to three creatures you choose within 30 feet of you take Nd10 lightning damage.,4,,,,,,,,,,
268-269,"Positive energy radiates inside of you, for the next minute you cannot be effected by any Conditions.",4,,,,,,,,,,
